obs_id,y_hat
1,7.185955731647849
2,5.914319122161092
3,4.511197540846372
4,6.176297463733304
5,5.772920696648795
6,4.48542226363002
7,7.750142723612935
8,3.6297297307681613
9,4.2917339123215354
10,8.530697164845966
11,6.870016314574663
12,4.536988419562056
13,8.772416643700463
14,6.274038676228101
15,4.377927114737311
16,3.791037644665449
17,2.468712635253291
18,2.486541271943
19,5.569439723952782
20,5.869324132798519
21,6.246080372785884
22,4.796147711637669
23,6.773423728910237
24,6.54871522524409
25,6.211080900898198
26,2.6243424271060682
27,11.73631415658998
28,4.607955644747376
29,5.11257560806548
30,1.782455022999761
31,5.369996545810899
32,1.6779110385353566
33,4.075776463344845
34,5.142778779563442
35,4.747735497629677
36,6.358992894656713
37,3.9279227740014853
38,6.8990546102737085
39,2.562300856415061
40,4.08848597232681
41,5.85615473119956
42,7.7449734827974135
43,6.827995977511576
44,3.689609521414999
45,6.840220163812408
46,4.905212073498312
47,4.959667810997909
48,4.470840697226279
49,6.341309873091016
50,4.654721498934687
51,3.873250450702321
52,5.957141546696224
53,3.2409134218453164
54,4.662349981701315
55,7.67231830532552
56,8.837018523007295
57,6.1277674687809
58,7.26747182135445
59,4.90799760616813
60,5.72173345709391
61,3.518435208204299
62,3.2268406969313643
63,5.01447485647288
64,4.733450831515991
65,6.2738961686531685
66,5.218681021609253
67,5.335993930114783
68,4.114507905957562
69,4.730749334856026
70,5.517235858345961
71,5.723620033881219
72,5.45489962005094
73,5.660504835470832
74,7.723681030568398
75,5.723011773734128
76,10.163583805837936
77,2.519079015416133
78,3.54658297632554
79,2.390646244645119
80,6.454397153412204
81,2.2884718797698147
82,3.365103122490109
83,6.18499803350571
84,5.269398879808762
85,3.1739328910412907
86,6.338726499148745
87,6.6509778049363275
88,1.410758962027997
89,10.344099825024681
90,3.5071727767422676
91,5.29216588908936
92,6.593700509441502
93,6.906394927656356
94,5.206026175270332
95,6.481876256251986
96,3.519278545382043
97,7.442095542142159
98,5.495702291767743
99,4.265228767015716
100,3.947906456722395
101,8.380730835242547
102,10.521429905128922
103,11.311621816052474
104,11.861879198078121
105,9.140716083703415
106,9.093042188842634
107,10.883564465346396
108,10.755154916311348
109,13.236959625095517
110,10.85680404214398
111,11.505654924169539
112,11.168236045482564
113,8.217150191563107
114,6.617720713874591
115,13.148215839308422
116,11.245297714769597
117,9.058461030717025
118,9.294042694263654
119,9.994104990859663
120,12.110378203122092
121,6.250809035091686
122,9.772086279616307
123,12.45760636505148
124,11.484517710177643
125,13.395803512041102
126,8.209971031526152
127,12.146074684406052
